	Date	TD	YD	Release	Daily	%+-YD	%+-LW	Theatre	Avg	To Date	Days	Distributor	google trends
167	2020-11-15	9	8	Toy Story2020 Re-release	$54,000	-48.6%	-51.4%	1,360	$39	$727,000	10	"Walt Disney Studios Motion Pictures

"	0.0
168	2020-11-15	10	9	Elf2020 Re-release	$35,000	-54.5%	-	300	$116	$173,568	3	"New Line Cinema

"	0.0
169	2020-11-15	11	11	Come Away	$27,869	-41.8%	-	475	$58	$106,084	3	"Relativity Media

"	1.8867924528301887
170	2020-11-15	12	15	Ammonite	$25,237	-22%	-	280	$90	$87,552	3	"Neon

"	1.3529411764705883
171	2020-11-15	13	13	The New Mutants	$24,266	-29.9%	-32.5%	215	$112	$23,739,630	80	"20th Century Studios

"	2.280605728881591
172	2020-11-15	14	14	The Empty Man	$20,354	-39.8%	-71.9%	506	$40	$2,921,638	24	"20th Century Studios

"	0.4
173	2020-11-15	15	12	Love and Monsters	$15,640	-57%	-36.7%	129	$121	$1,048,513	31	"Paramount Pictures

"	1.6666666666666667
174	2020-11-15	16	16	The Informer	$14,213	-48.4%	-56.4%	168	$84	$248,731	10	"Vertical Entertainment

"	0.5789473684210527
175	2020-11-15	17	17	Spell	$11,275	-56%	-61.1%	159	$70	$484,713	17	"Paramount Pictures

"	13.466433827681781
176	2020-11-15	18	18	Unhinged	$6,509	-49.3%	-65.4%	176	$36	$20,823,368	94	"Solstice Studios

"	2.4603174603174605
177	2020-11-15	19	20	After We Collided	$3,730	-49%	-70.6%	141	$26	$2,376,971	24	"Open Road Films (II)

"	3.4357177214320087
178	2020-11-15	20	19	2 Hearts	$3,280	-56.7%	-73.1%	148	$22	$1,336,811	31	"Freestyle Releasing

"	0.5833333333333334
179	2020-11-15	21	24	Pray: The Story of Patrick Peyton	$1,044	+75.2%	-1.8%	19	$54	$69,200	38	"ArtAffects Entertainment

"	0.0
180	2020-11-15	22	22	The Broken Hearts Gallery	$989	-21.9%	-68.9%	239	$4	$4,066,169	66	"TriStar Pictures

"	0.2054794520547945
181	2020-11-15	23	21	A Call to Spy	$549	-73.3%	-61.2%	8	$68	$149,761	45	"IFC Films

"	0.06
182	2020-11-15	24	23	The Call	$395	-60.9%	-86.4%	20	$19	$515,177	45	"Atlas Distribution Company

"	12.093726379440671
183	2020-11-15	25	25	Tulsa	$209	+1.5%	-7.9%	6	$34	$413,378	87	"Pryor Entertainment

"	10.498026371042247
184	2020-11-15	26	27	Words on Bathroom Walls	$148	+39.6%	-74.9%	4	$37	$2,542,344	87	"Roadside Attractions

"	0.3466666666666667
185	2020-11-15	27	28	Counter Column	$56	-	-61.4%	1	$56	$15,504	31	"Not That Kind of Movie Productions

"	0.0
186	2020-11-15	28	26	Infidel	$45	-67.4%	-93.4%	7	$6	$4,051,033	59	"Cloudburst Entertainment

"	0.3968253968253969
187	2020-11-14	1	1	Freaky	$1,397,115	-6%	-	2,472	$565	$2,883,925	2	"Universal Pictures

"	6.991685563114138
188	2020-11-14	2	2	Let Him Go	$794,710	+42.3%	-51%	2,458	$323	$6,440,705	9	"Focus Features

"	2.1428571428571432
189	2020-11-14	3	4	The War with Grandpa	$643,841	+95.4%	-10.4%	2,145	$300	$14,876,003	37	"101 Studios

"	0.9295774647887324
190	2020-11-14	4	3	Come Play	$506,860	+50.9%	-39.6%	1,966	$257	$7,059,275	16	"Focus Features

"	4.126984126984127
191	2020-11-14	5	5	Honest Thief	$362,130	+51.8%	-30.8%	1,843	$196	$12,182,890	37	"Open Road Films (II)

"	1.4473684210526316
192	2020-11-14	6	6	Guardians of the Galaxy2020 Re-release	$185,000	+50.4%	-	1,560	$118	$308,000	2	"Walt Disney Studios Motion Pictures

"	0.0
193	2020-11-14	7	7	True to the Game 2	$120,884	+47.9%	-	281	$430	$525,524	9	"Faith Media Distribution

"	0.85
194	2020-11-14	8	8	Toy Story2020 Re-release	$105,000	+66.7%	-54.9%	1,360	$77	$673,000	9	"Walt Disney Studios Motion Pictures

"	0.0
195	2020-11-14	9	9	Elf2020 Re-release	$77,000	+32.8%	-	300	$256	$138,568	2	"New Line Cinema

"	0.0
196	2020-11-14	10	10	The Last Shift	$52,034	+21.4%	+19,388.4%	135	$385	$739,686	51	"Stage 6 Films

"	0.05
197	2020-11-14	11	11	Come Away	$47,885	+57.9%	-	475	$100	$78,215	2	"Relativity Media

"	1.6981132075471699
